,,,,,,
设备ID,报文类型,报文说明,报文功能码,原始报文,数据采集时间,数据入库时间
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009f26020209410003bde3,2026-02-02 09:41:01,2026-02-02 09:41:01
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802009e2602020940241b8c37,,2026-02-02 09:40:24
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02009e260202094021f1f1109033085350f0f026020209402219000000272b0000000000392300000138371b000000302b000004300020190000001f1900000026190000001a1900000038121197035f3c,2026-02-02 09:40:00,2026-02-02 09:40:24
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009e26020209400003b173,2026-02-02 09:40:01,2026-02-02 09:40:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009e2602020939000368a2,2026-02-02 09:39:01,2026-02-02 09:39:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009e26020209380003a8f3,2026-02-02 09:38:01,2026-02-02 09:38:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009e26020209370003abc3,2026-02-02 09:37:01,2026-02-02 09:37:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009e260202093600036b92,2026-02-02 09:36:01,2026-02-02 09:36:01
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802009d2602020935221be365,,2026-02-02 09:35:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02009d260202093521f1f1109033085350f0f026020209352219000000272b0000000000392300000138371b000000302b000004300020190000001f1900000026190000001a190000003812119203f666,2026-02-02 09:35:00,2026-02-02 09:35:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009d260202093500037e22,2026-02-02 09:35:01,2026-02-02 09:35:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009d26020209340003be73,2026-02-02 09:34:01,2026-02-02 09:34:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009d260202093300037fc2,2026-02-02 09:33:01,2026-02-02 09:33:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009d26020209320003bf93,2026-02-02 09:32:01,2026-02-02 09:32:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009d26020209310003bf63,2026-02-02 09:31:01,2026-02-02 09:31:01
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802009c2602020930241b8eb7,,2026-02-02 09:30:25
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02009c260202093022f1f1109033085350f0f026020209302219000000272b0000000000392300000137371b000000302b000004300020190000001f1900000026190000001a190000003812119003bdc0,2026-02-02 09:30:00,2026-02-02 09:30:25
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009c26020209300003b3f3,2026-02-02 09:30:01,2026-02-02 09:30:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009c260202092900037422,2026-02-02 09:29:01,2026-02-02 09:29:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009c26020209280003b473,2026-02-02 09:28:01,2026-02-02 09:28:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009c26020209270003b743,2026-02-02 09:27:01,2026-02-02 09:27:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009c260202092600037712,2026-02-02 09:26:01,2026-02-02 09:26:01
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802009b2602020925231b9ce5,,2026-02-02 09:25:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02009b260202092521f1f1109033085350f0f026020209252219000000272b0000000000392300000141371b000000302b000004300020190000001f1900000026190000001a190000003812118603f78e,2026-02-02 09:25:00,2026-02-02 09:25:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009b2602020925000391a3,2026-02-02 09:25:01,2026-02-02 09:25:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009b2602020924000351f2,2026-02-02 09:24:01,2026-02-02 09:24:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009b260202092300039043,2026-02-02 09:23:01,2026-02-02 09:23:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009b260202092200035012,2026-02-02 09:22:01,2026-02-02 09:22:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009b2602020921000350e2,2026-02-02 09:21:01,2026-02-02 09:21:01
1090330853,下行,定时报应答,32,7e7e109033085301a00032800802009a2602020920231b5134,,2026-02-02 09:20:24
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d02009a260202092021f1f1109033085350f0f026020209202219000000272b0000000000392300000168371b000000302b000004300020190000001f1900000026190000001a190000003812118203de05,2026-02-02 09:20:00,2026-02-02 09:20:24
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009a260202092000035c72,2026-02-02 09:20:01,2026-02-02 09:20:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009a2602020919000351a2,2026-02-02 09:19:01,2026-02-02 09:19:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009a2602020918000391f3,2026-02-02 09:18:01,2026-02-02 09:18:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009a2602020917000392c3,2026-02-02 09:17:01,2026-02-02 09:17:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009a260202091600035292,2026-02-02 09:16:01,2026-02-02 09:16:01
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200992602020915241b7a66,,2026-02-02 09:15:25
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020099260202091521f1f1109033085350f0f026020209152219000000272b0000000000392300000165371b000000302b000004300020190000001f1900000026190000001a19000000381211800395d7,2026-02-02 09:15:00,2026-02-02 09:15:25
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020099260202091500034722,2026-02-02 09:15:01,2026-02-02 09:15:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020099260202091400038773,2026-02-02 09:14:01,2026-02-02 09:14:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f00080200992602020913000346c2,2026-02-02 09:13:01,2026-02-02 09:13:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020099260202091200038693,2026-02-02 09:12:01,2026-02-02 09:12:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020099260202091100038663,2026-02-02 09:11:01,2026-02-02 09:11:01
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200982602020910221b17b4,,2026-02-02 09:10:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020098260202091021f1f1109033085350f0f026020209102219000000272b0000000000392300000169371b000000302b000004300020190000001f1900000026190000001a190000003812115803e1d6,2026-02-02 09:10:00,2026-02-02 09:10:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020098260202091000038af3,2026-02-02 09:10:01,2026-02-02 09:10:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020098260202090900034d22,2026-02-02 09:09:01,2026-02-02 09:09:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020098260202090800038d73,2026-02-02 09:08:01,2026-02-02 09:08:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020098260202090700038e43,2026-02-02 09:07:01,2026-02-02 09:07:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020098260202090600034e12,2026-02-02 09:06:01,2026-02-02 09:06:01
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200972602020905231b03e4,,2026-02-02 09:05:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020097260202090521f1f1109033085350f0f026020209052219000000272b0000000000392300000168371b000000302b000004300020190000001f1900000026190000001a1900000038121157030725,2026-02-02 09:05:00,2026-02-02 09:05:23
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020097260202090500030ea2,2026-02-02 09:05:01,2026-02-02 09:05:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009726020209040003cef3,2026-02-02 09:04:01,2026-02-02 09:04:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020097260202090300030f42,2026-02-02 09:03:01,2026-02-02 09:03:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009726020209020003cf13,2026-02-02 09:02:01,2026-02-02 09:02:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009726020209010003cfe3,2026-02-02 09:01:01,2026-02-02 09:01:01
1090330853,下行,均匀时段水文信息报应答,31,7e7e109033085301a0003180080200962602020900361b9d3e,,2026-02-02 09:00:36
1090330853,上行,均匀时段水文信息报,31,7e7e011090330853a00031004e020096260202090033f1f1109033085350f0f0260202080504180000053923ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff0000017003a2bc,2026-02-02 08:05:00,2026-02-02 09:00:36
1090330853,下行,均匀时段水文信息报应答,31,7e7e109033085301a0003180080200952602020900341be87f,,2026-02-02 09:00:34
1090330853,上行,均匀时段水文信息报,31,7e7e011090330853a000310042020095260202090032f1f1109033085350f0f0260202080504180000052219ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff0000000372ab,2026-02-02 08:05:00,2026-02-02 09:00:34
1090330853,下行,小时报应答,34,7e7e109033085301a0003480080200942602020900311b71b1,,2026-02-02 09:00:32
1090330853,上行,遥测站小时报,34,7e7e011090330853a000340079020094260202090031f1f1109033085350f0f02602020805f460ffffffffffffffffffffff00f0f02602020805f5c0ffffffffffffffffffffffffffffffffffffffffffff0011f0f0260202090020190000001a190000002619000000272b0000000000392300000168371b000000302b00000430003812115503ff1f,2026-02-02 09:00:00,2026-02-02 09:00:32
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200932602020900231bf1f5,,2026-02-02 09:00:24
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020093260202090021f1f1109033085350f0f026020209002219000000272b0000000000392300000167371b000000302b000004300020190000001f1900000026190000001a190000003812115603fd89,2026-02-02 09:00:00,2026-02-02 09:00:24
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009326020209000003fcb3,2026-02-02 09:00:00,2026-02-02 09:00:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020093260202085900031362,2026-02-02 08:59:00,2026-02-02 08:59:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009326020208580003d333,2026-02-02 08:58:00,2026-02-02 08:58:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009326020208570003d003,2026-02-02 08:57:00,2026-02-02 08:57:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020093260202085600031052,2026-02-02 08:56:00,2026-02-02 08:56:00
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200922602020855241be127,,2026-02-02 08:55:24
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020092260202085521f1f1109033085350f0f026020208552219000000272b0000000000392300000166371b000000302b000004300020190000001f1900000026190000001a1900000038121152034541,2026-02-02 08:55:00,2026-02-02 08:55:24
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009226020208550003dc63,2026-02-02 08:55:00,2026-02-02 08:55:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020092260202085400031c32,2026-02-02 08:54:01,2026-02-02 08:54:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009226020208530003dd83,2026-02-02 08:53:00,2026-02-02 08:53:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020092260202085200031dd2,2026-02-02 08:52:00,2026-02-02 08:52:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020092260202085100031d22,2026-02-02 08:51:00,2026-02-02 08:51:00
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200912602020850221b5574,,2026-02-02 08:50:22
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020091260202085021f1f1109033085350f0f026020208502219000000272b0000000000392300000167371b000000302b000004300020190000001f1900000026190000001a19000000381211530340c9,2026-02-02 08:50:00,2026-02-02 08:50:22
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009126020208500003c833,2026-02-02 08:50:00,2026-02-02 08:50:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020091260202084900030fe2,2026-02-02 08:49:01,2026-02-02 08:49:01
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009126020208480003cfb3,2026-02-02 08:48:00,2026-02-02 08:48:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f000802009126020208470003cc83,2026-02-02 08:47:00,2026-02-02 08:47:00
1090330853,上行,链路维持报,2f,7e7e011090330853a0002f0008020091260202084600030cd2,2026-02-02 08:46:00,2026-02-02 08:46:00
1090330853,下行,定时报应答,32,7e7e109033085301a0003280080200902602020845221b5da4,,2026-02-02 08:45:23
1090330853,上行,遥测站定时报,32,7e7e011090330853a00032004d020090260202084522f1f1109033085350f0f026020208452219000000272b0000000000392300000161371b000000302b000004300020190000001f1900000026190000001a1900000038121150039208,2026-02-02 08:45:00,2026-02-02 08:45:23
